TIMESTAMP,CMD_ACK,VALUE,UNIT,STATE,ATTRIBUTE
2024-06-25 19:59:45.299,0,0.0,VDC,NORMAL,NONE
2024-06-25 19:59:45.395,0,0.0,VDC,NORMAL,NONE
2024-06-25 19:59:45.507,0,0.0,VDC,NORMAL,NONE
2024-06-25 19:59:45.603,0,0.0,VDC,NORMAL,NONE
2024-06-25 19:59:45.699,0,0.0,VDC,NORMAL,NONE
2024-06-25 19:59:45.795,0,0.0,VDC,NORMAL,NONE
2024-06-25 19:59:45.906,0,0.0,VDC,NORMAL,NONE
2024-06-25 19:59:46.002,0,0.0,VDC,NORMAL,NONE
2024-06-25 19:59:46.114,0,-0.0001,VDC,NORMAL,NONE
2024-06-25 19:59:46.210,0,0.0,VDC,NORMAL,NONE
2024-06-25 19:59:46.306,0,0.0019,VDC,NORMAL,NONE
